,car_name,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
1786,Audi A4,4,49000,1,0,1,17.84,1395.0,147.51,5,1485000
1788,Renault Duster,7,56896,1,1,0,19.01,1461.0,108.45,5,450000
1789,Maruti Baleno,4,35000,0,0,0,21.4,1197.0,83.1,5,625000
1790,Maruti Wagon R,3,15000,0,0,1,20.51,998.0,67.0,5,450000
1791,Tata Tigor,4,35000,0,0,0,20.3,1199.0,84.0,5,570000
1792,Maruti Wagon R,6,60000,0,0,0,20.51,998.0,67.04,5,325000
1793,Mahindra Scorpio,6,80000,1,1,0,15.4,1997.0,120.0,7,825000
1796,Datsun GO,4,31000,1,0,0,20.63,1198.0,67.0,5,285000
1797,Hyundai Santro,3,5000,0,0,0,20.3,1086.0,68.0,5,500000
1798,Maruti Eeco,4,40000,1,0,0,15.37,1196.0,73.0,7,325000
1799,Maruti Alto,4,10000,0,0,0,24.7,796.0,47.3,5,260000
1800,Renault Duster,5,40000,0,1,0,19.64,1461.0,108.45,5,780000
1801,Maruti Alto,11,48156,1,0,0,19.7,796.0,46.3,5,135000
1802,Maruti Swift Dzire,5,46000,0,1,0,26.59,1248.0,74.0,5,600000
